Epoch,Time,Talk,chair,speaker,questions,N,Comments
1515512886,1/9/18 7:48,102.03,M,M,MM,1,
1515735038,1/11/18 21:30,102.04,M,M,MMM,2,Ignore the last 2 entries that were identical to this one but missing data; there were only 2 entries for this talk ID
1515735055,1/11/18 21:30,102.05,M,M,MMM,1,Speaker gender assumed from first name “Daniel”
1515735081,1/11/18 21:31,102.06,M,F,,1,No questions 
1515735091,1/11/18 21:31,102.08,M,F,M,1,
1515511737,1/9/18 7:28,106.01,F,M,FF,1,
1515512653,1/9/18 7:44,106.02,F,F,,1,
1515513734,1/9/18 8:02,106.03,F,M,F,1,
1515514823,1/9/18 8:20,106.4,F,M,FF,1,
1515515906,1/9/18 8:38,106.5,F,F,MM,2,
1515511572,1/9/18 7:26,109.01,M,M,MMM,3,One person asked 2 questions; three responses: two with MMM and one with MM (all Q)
1515512109,1/9/18 7:35,109.02,M,F,MM,2,
1515513836,1/9/18 8:03,109.04,M,M,MMM,2,
1515514300,1/9/18 8:11,109.05,M,M,MMFM,2,
1515533346,1/9/18 13:29,114.02,M,F,MM,1,
1515533376,1/9/18 13:29,114.03,M,M,MMF,1,
1515533394,1/9/18 13:29,114.04,M,M,MM,1,
1515533409,1/9/18 13:30,114.05,M,F,MMMM,1,
1515533426,1/9/18 13:30,114.06,M,M,MM,1,
1515524927,1/9/18 11:08,124.01,M,F,M,1,
1515525448,1/9/18 11:17,124.02,M,M,M,1,
1515525957,1/9/18 11:25,124.03,M,M,MM,1,
1515527863,1/9/18 11:57,124.05,M,M,MMM,2,
1515528518,1/9/18 12:08,124.06,M,M,MM,2,
1515525028,1/9/18 11:10,132.01,M,M,MM,1,
1515525628,1/9/18 11:20,132.02,M,M,MMM,1,
1515528699,1/9/18 12:11,133.06,M,M,MMMFMF,1,
1515529304,1/9/18 12:21,133.07,M,M,MM,1,
1515735185,1/11/18 21:33,209.02,M,M,MFF,1,
1515735209,1/11/18 21:33,209.03,M,M,MF,2,
1515735224,1/11/18 21:33,209.04,M,M,MM,3,
1515735249,1/11/18 21:34,209.05,M,M,MFMMM,4,
1515601226,1/10/18 8:20,211.07,F,M,MM,1,
1515596904,1/10/18 7:08,212.01,F,M,FM,1,
1515597367,1/10/18 7:16,212.02,F,M,FM,1,
1515636479,1/10/18 18:07,214.01,M,M,M,1,
1515636507,1/10/18 18:08,214.02,M,M,MMMF,1,
1515636525,1/10/18 18:08,214.03,M,M,MMF,1,
1515636545,1/10/18 18:09,214.04,M,M,MM,1,
1515636561,1/10/18 18:09,214.05,M,M,FMM,1,
1515636571,1/10/18 18:09,214.06,M,M,M,2,other response did not record any questions
1515613858,1/10/18 11:50,224.04,M,F,,1,
1515614247,1/10/18 11:57,225.02,F,F,MMM,1,
1515615068,1/10/18 12:11,225.04,F,F,F,1,
1515616186,1/10/18 12:29,225.05,F,M,M,1,
1515636591,1/10/18 18:09,230.01,M,M,M,1,
1515636617,1/10/18 18:10,230.02,M,M,MMMMF,1,
1515613144,1/10/18 11:39,230.03,M,M,MM,1,
1515636671,1/10/18 18:11,230.03,M,M,MM,1,
1515636689,1/10/18 18:11,230.04,M,M,MMMM,2,
1515636712,1/10/18 18:11,230.05,M,M,M,1,
1515616147,1/10/18 12:29,230.06,M,M,MMMM,2,other response was MQMQ
1515612560,1/10/18 11:29,234.03,M,M,MMMMF,1,1st question was chair (and was not serious);  2nd 2 questions where the same person  
1515613169,1/10/18 11:39,234.04,M,M,MMMMM,2,1st 2 questions were same person. Last question was chair. 2 responses MMMMM and MMMM (all Q)
1515615060,1/10/18 12:11,234.06,M,M,FM,2,Weds Stars and Friends ; second was FM (all Q)
1515619861,1/10/18 13:31,235,M,M,MMFM,1,plenary
1515622972,1/10/18 14:22,236,M,F,MMM,1,plenary
1515708533,1/11/18 14:08,300.01,M,F,MMM,1,
1515735289,1/11/18 21:34,308.01,F,M,MM,1,
1515735303,1/11/18 21:35,308.03,F,F,M,1,
1515735322,1/11/18 21:35,308.04,F,M,MMF,1,
1515735343,1/11/18 21:35,308.05,F,M,MM,1,
1515735355,1/11/18 21:35,308.06,F,M,MM,1,
1515735372,1/11/18 21:36,308.07,F,M,MMM,1,
1515683362,1/11/18 7:09,311.01,F,M,FM,1,
1515683903,1/11/18 7:18,311.02,F,M,MMM,1,
1515685728,1/11/18 7:48,311.04,F,M,MFMM,2,Combined two responses: FQMQMC and MQFQ
1515687010,1/11/18 8:10,311.06,F,F,FMF,1,
1515687553,1/11/18 8:19,311.07,F,M,MMF,1,
1515708550,1/11/18 14:09,313.01,M,M,MFF,1,
1515708563,1/11/18 14:09,313.02,M,F,MMMM,1,
1515708574,1/11/18 14:09,313.03,M,M,M,1,
1515708588,1/11/18 14:09,313.04,M,F,FMMM,1,
1515708602,1/11/18 14:10,313.06,M,M,MMM,1,
1515700603,1/11/18 11:56,321.04,M,F,,1,No questions 
1515701778,1/11/18 12:16,321.05,M,F,,1,No questions 
1515698197,1/11/18 11:16,325.01,M,M,M,2,
1515698911,1/11/18 11:28,325.02,M,M,MM,2,other response was MQ
1515699506,1/11/18 11:38,325.03,M,M,M,2,
1515699914,1/11/18 11:45,325.04,M,M,F,2,
1515700624,1/11/18 11:57,325.05,M,M,MM,2,
1515701201,1/11/18 12:06,325.06,M,M,FM,2,
1515701896,1/11/18 12:18,325.07,M,M,FM,3,
1515702497,1/11/18 12:28,325.08,M,M,M,2,
1515697730,1/11/18 11:08,334.1,F,F,MF,1,2nd q from chair 
1515698392,1/11/18 11:19,334.2,F,F,MMM,1,
1515699554,1/11/18 11:39,334.3,F,M,MMMM,1,1st 2 questions were same person 
1515686551,1/11/18 8:02,365.01,M,F,,1,
1515684783,1/11/18 7:33,365.02,M,M,,1,
1515685947,1/11/18 7:52,365.03,M,F,FF,1,
1515770104,1/12/18 7:15,409.01,F,M,MMM,1,
1515771260,1/12/18 7:34,409.02,F,M,FM,1,
1515773143,1/12/18 8:05,409.03,F,M,MMF,2,Combined two responses MQMQ and MQFQ
1515769686,1/12/18 7:08,413.01,M,M,MMMF,1,
1515771471,1/12/18 7:37,413.03,M,M,MM,1,
1515773675,1/12/18 8:14,413.07,M,M,FMFM,1,
1515784163,1/12/18 11:09,421.01,M,F,MM,1,
1515784715,1/12/18 11:18,421.02,M,M,M,1,
1515785297,1/12/18 11:28,421.03,M,M,M,1,
1515785888,1/12/18 11:38,421.05,M,F,MM,1,
1515786444,1/12/18 11:47,421.06,M,F,M,1,
1515787171,1/12/18 11:59,421.07,M,M,MM,1,
1515787784,1/12/18 12:09,421.08,M,F,M,1,
1515785720,1/12/18 11:35,423.03,M,M,MM,1,
1515787556,1/12/18 12:05,423.05,M,M,MM,1,
1515788188,1/12/18 12:16,423.06,M,M,MM,2,Other response was MQ
1515513310,1/9/18 7:55,109.03D,M,F,MMMMMM,2,first response gave MMMMM (all Q)
1515515471,1/9/18 8:31,109.06D,M,F,MM,2,
1515610953,1/10/18 11:02,112.01 Pallavi Patil,F,F,M,1,"Not clear this is the correct author, since 112 was the previous day"
1515513873,1/9/18 8:04,115.06 Erika Nesvold,M,F,MF,1,
1515527249,1/9/18 11:47,124.04D,M,F,MM,1,
1515598578,1/10/18 7:36,212.03D,F,F,MFMMMM,1,
1515599946,1/10/18 7:59,213.05D Donald Lee-Brown,M,M,MMFMMFM,2,Weds. Morning computation
1515600798,1/10/18 8:13,213.06 Demitri Muna,M,M,MMF,1,Weds. Morning computation 
1515601727,1/10/18 8:28,213.07 Jessi Cisewski-Kehe,M,F,MMMM,1,Weds. Morning Computation  
1515599984,1/10/18 7:59,214.04D,M,M,MM,1,
1515601154,1/10/18 8:19,214.05D,M,M,FMM,1,
1515613283,1/10/18 11:41,224.03D,M,M,MF,1,
1515614208,1/10/18 11:56,229.04D,F,F,MMMM,1,
1515612350,1/10/18 11:25,230.02D,M,M,MMMMMF,1,
1515614277,1/10/18 11:57,230.04D,M,M,MMMM,1,
1515615450,1/10/18 12:17,230.05D,M,M,M,1,
1515611411,1/10/18 11:10,234.01 J Sebastian Pineda,M,M,MMF,1,Abstract page in PDF is corrupted; number from index
1515611971,1/10/18 11:19,234.02 Mark Giampapa,M,M,FMM,2,Weds Stars and Friends; Abstract page in PDF is corrupted; number from index
1515614423,1/10/18 12:00,234.05D,M,F,MFMMM,2,"Weds Stars and Friends; 2 responses MFMMM(c) and MFMM (aside from one C, all responses were Q)"
1515686493,1/11/18 8:01,313.04D,M,F,FMMMM,1,
1515687529,1/11/18 8:18,313.06D,M,M,MMM,1,
1515707151,1/11/18 13:45,334.01 Suniti Sanghavi,F,F,MF,1,Chair (…person filling this out) asked second question because there was a lack of questions. 1 of 7 talks. 
1515707197,1/11/18 13:46,334.02 Elizabeth Newton,F,F,MMM,1,
1515707245,1/11/18 13:47,334.03 Michael Crosley,F,M,MMM,1,
1515707384,1/11/18 13:49,334.04 Irina Kitiashvili,F,F,,1,No questions because speaker used up entire slot. Chair (me) could not convince speaker to hurry things along.  
1515707470,1/11/18 13:51,334.05 Sarah Peacock,F,F,FMFFM,1,Many questions because the speaker was very efficient in her time keeping and expedient delivery of results. 
1515707577,1/11/18 13:52,334.06 Jennifer Winters,F,F,FMMF,1,Because speaker ended on time  plenty of room for discussion. Last question was actually a comment that resulted in a nice discussion between the speaker and audience member.  
1515707880,1/11/18 13:58,334.07 Jacqueline Villadsen,F,F,MMM,1,Last talk in session.
1515683922,1/11/18 7:18,365 Rachel ivie ,M,F,M,1,
1515771003,1/12/18 7:30,413.02D,M,F,FMMM,1,
1515772591,1/12/18 7:56,413.04D,M,F,M,1,
1515785141,1/12/18 11:25,423.02D,M,M,MMM,1,
1515787066,1/12/18 11:57,424.04D,M,M,MMMMM,1,
1515424172,1/8/18 7:09,Angie Wolfgang,M,F,M,1,NSF postdoc symposium  
1515428768,1/8/18 8:26,James R. A. Davenport,M,M,M,1,NSF postdoc symposium?
1515427747,1/8/18 8:09,Maria Weber,M,F,FMM,1,NSF postdoc symposium?
1515426546,1/8/18 7:49,Phil rosenfield,F,M,FF,1,NSF postdoc symposium?
